,DataSet,Vectorizer,Stopword removing,Punctuation removing,Morphing,Classifier,Accuracy,Precision,Recall,Fscore
79,Amazon,Tfidf,on,off,stemmer,Random Forest,0.7090909090909091,0.7664233576642335,0.621301775147929,0.6862745098039216
80,Amazon,Tfidf,on,off,turned off,Random Forest,0.7545454545454545,0.8333333333333334,0.650887573964497,0.7308970099667774
81,Amazon,Tfidf,off,off,lemmitizer,Random Forest,0.7787878787878788,0.8428571428571429,0.6982248520710059,0.7637540453074433
82,Amazon,Tfidf,off,off,stemmer,Random Forest,0.793939393939394,0.8581560283687943,0.7159763313609467,0.7806451612903226
83,Amazon,Tfidf,off,off,turned off,Random Forest,0.8090909090909091,0.8897058823529411,0.7159763313609467,0.7934426229508197
84,Amazon,Count Vectorizer,on,on,lemmitizer,Random Forest,0.7515151515151515,0.8041958041958042,0.6804733727810651,0.7371794871794871
85,Amazon,Count Vectorizer,on,on,stemmer,Random Forest,0.7666666666666667,0.7875,0.7455621301775148,0.7659574468085107
86,Amazon,Count Vectorizer,on,on,turned off,Random Forest,0.7393939393939394,0.782312925170068,0.6804733727810651,0.7278481012658228
87,Amazon,Count Vectorizer,off,on,lemmitizer,Random Forest,0.7878787878787878,0.8074534161490683,0.7692307692307693,0.787878787878788
88,Amazon,Count Vectorizer,off,on,stemmer,Random Forest,0.8,0.8121212121212121,0.7928994082840237,0.8023952095808383
89,Amazon,Count Vectorizer,off,on,turned off,Random Forest,0.796969696969697,0.84,0.7455621301775148,0.7899686520376176
90,Amazon,Count Vectorizer,on,off,lemmitizer,Random Forest,0.7545454545454545,0.7933333333333333,0.7041420118343196,0.7460815047021945
91,Amazon,Count Vectorizer,on,off,stemmer,Random Forest,0.7757575757575758,0.7950310559006211,0.757396449704142,0.7757575757575758
92,Amazon,Count Vectorizer,on,off,turned off,Random Forest,0.7545454545454545,0.8013698630136986,0.6923076923076923,0.7428571428571428
93,Amazon,Count Vectorizer,off,off,lemmitizer,Random Forest,0.806060606060606,0.8301886792452831,0.7810650887573964,0.8048780487804879
94,Amazon,Count Vectorizer,off,off,stemmer,Random Forest,0.8303030303030303,0.8304093567251462,0.8402366863905325,0.8352941176470589
95,Amazon,Count Vectorizer,off,off,turned off,Random Forest,0.806060606060606,0.8523489932885906,0.7514792899408284,0.7987421383647797
96,Amazon,Tfidf,on,on,lemmitizer,XGBoost,0.6848484848484848,0.768595041322314,0.5502958579881657,0.6413793103448275
97,Amazon,Tfidf,on,on,stemmer,XGBoost,0.696969696969697,0.8,0.5443786982248521,0.6478873239436621
